content,score,text_clean,text_stopword,text_slang,text_no_stopwords
Lalay dalam berkerja pengiriman lambat kuriri nya banyak alesan,1,lalay dalam berkerja pengiriman lambat kuriri nya banyak alesan,lalay berkerja pengiriman lambat kuriri nya alesan,lalay berkerja pengiriman lambat kuriri nya alesan,lalay berkerja pengiriman lambat kuriri nya alesan
lumayan lah,5,lumayan lah,lumayan,lumayan,lumayan
sangat mudah oky sip,5,sangat mudah oky sip,mudah oky sip,mudah oky sip,mudah oky sip
Mempermuda saat belanja.,5,mempermuda saat belanja,mempermuda belanja,mempermuda belanja,mempermuda belanja
"Apa ini...Rp 100 pengguna baru...giliran mu dibayar susah,giliran udah bisa error masuk lagi ke menu awal...mau beli lagi Rp 100 pengguna baru malah ke ga bisa...padahal transaksi pertama aja ga bisa.....ini gimana sih ...udah di batalkan sepihak,trus status pengguna baru nya ga bisa transaksi Rp100,..karena dianggap pernah transaksi...padahal transaksi dibatalkan sepihak,sudah bayar,pedahal",1,apa inirp  pengguna barugiliran mu dibayar susahgiliran udah bisa error masuk lagi ke menu awalmau beli lagi rp  pengguna baru malah ke ga bisapadahal transaksi pertama aja ga bisaini gimana sih udah di batalkan sepihaktrus status pengguna baru nya ga bisa transaksi rpkarena dianggap pernah transaksipadahal transaksi dibatalkan sepihaksudah bayarpedahal,inirp pengguna barugiliran mu dibayar susahgiliran udah error masuk menu awalmau beli rp pengguna ga bisapadahal transaksi aja ga bisaini gimana sih udah batalkan sepihaktrus status pengguna nya ga transaksi rpkarena dianggap transaksipadahal transaksi dibatalkan sepihaksudah bayarpedahal,inirp pengguna barugiliran mu dibayar susahgiliran sudah error masuk menu awalmau beli rp pengguna enggak bisapadahal transaksi saja enggak bisaini bagaimana sih sudah batalkan sepihaktrus status pengguna nya enggak transaksi rpkarena dianggap transaksipadahal transaksi dibatalkan sepihaksudah bayarpedahal,inirp pengguna barugiliran mu dibayar susahgiliran error masuk menu awalmau beli rp pengguna bisapadahal transaksi bisaini sih batalkan sepihaktrus status pengguna nya transaksi rpkarena dianggap transaksipadahal transaksi dibatalkan sepihaksudah bayarpedahal
tigkat kan kualitas prodak,2,tigkat kan kualitas prodak,tigkat kualitas prodak,tigkat kualitas produk,tigkat kualitas produk
Aplikasi kocak,1,aplikasi kocak,aplikasi kocak,aplikasi kocak,aplikasi kocak
bagus,5,bagus,bagus,bagus,bagus
Harga di tokepedia sekarang jauh lebih mahal dibanding shopee. Dan ongkirnya juga parah. Mengenai info pengiriman juga ga update.. melebih estimasi. Di shopee berani garansi tepat waktu. Tokopedia semakin tertinggal.,1,harga di tokepedia sekarang jauh lebih mahal dibanding shopee dan ongkirnya juga parah mengenai info pengiriman juga ga update melebih estimasi di shopee berani garansi tepat waktu tokopedia semakin tertinggal,harga tokepedia mahal dibanding shopee ongkirnya parah info pengiriman ga update melebih estimasi shopee berani garansi tokopedia tertinggal,harga tokepedia mahal dibanding shopee ongkirnya parah info pengiriman enggak update melebih estimasi shopee berani garansi tokopedia tertinggal,harga tokepedia mahal dibanding shopee ongkirnya parah info pengiriman update melebih estimasi shopee berani garansi tokopedia tertinggal
Aplikasi yg tidak komitmen,1,aplikasi yg tidak komitmen,aplikasi yg komitmen,aplikasi yang komitmen,aplikasi komitmen
promo nya ok bangt,5,promo nya ok bangt,promo nya ok bangt,promo nya ok banget,promo nya ok banget
oke,5,oke,oke,oke,oke
bagus banyak pilihannya,5,bagus banyak pilihannya,bagus pilihannya,bagus pilihannya,bagus pilihannya
mntap,5,mntap,mntap,mntap,mntap
saya masih pengguna baru dan saya senang karna discount nya besar. saya akan tambahin bintang nya lagi klo apk ini terus buat pengguna nyaman bukan hanya untuk pengguna baru saja.,4,saya masih pengguna baru dan saya senang karna discount nya besar saya akan tambahin bintang nya lagi klo apk ini terus buat pengguna nyaman bukan hanya untuk pengguna baru saja,pengguna senang karna discount nya tambahin bintang nya klo apk pengguna nyaman pengguna,pengguna senang karena discount nya tambahkan bintang nya kalo apk pengguna nyaman pengguna,pengguna senang discount nya tambahkan bintang nya kalo apk pengguna nyaman pengguna
sangat membantu,5,sangat membantu,membantu,membantu,membantu
yummy,3,yummy,yummy,yummy,yummy
keren,5,keren,keren,keren,keren
"Kenapa setiap saya checkout di batalin terus, jdi sebelll",1,kenapa setiap saya checkout di batalin terus jdi sebelll,checkout batalin jdi sebelll,checkout batalin jadi sebelll,checkout batalin sebelll
Tolong buka blokiranya paylaterku,1,tolong buka blokiranya paylaterku,tolong buka blokiranya paylaterku,tolong buka blokiranya paylaterku,tolong buka blokiranya paylaterku
mantap,5,mantap,mantap,mantap,mantap
bagus bangettt,4,bagus bangettt,bagus bangettt,bagus banget,bagus banget
"Tidak recomend sangat sangat buruk, kesalahan sistem uang langsung nyangkut k saldo Tokopedia abis itu susah minta ampun buat narik saldo k rekening, sampai sekarang belum bisa k tarik",1,tidak recomend sangat sangat buruk kesalahan sistem uang langsung nyangkut k saldo tokopedia abis itu susah minta ampun buat narik saldo k rekening sampai sekarang belum bisa k tarik,recomend buruk kesalahan sistem uang langsung nyangkut k saldo tokopedia abis susah ampun narik saldo k rekening k tarik,recomend buruk kesalahan sistem uang langsung nyangkut ke saldo tokopedia habis susah ampun menarik saldo ke rekening ke tarik,recomend buruk kesalahan sistem uang langsung nyangkut saldo tokopedia habis susah ampun menarik saldo rekening tarik
"bagus,banyak promo",5,bagusbanyak promo,bagusbanyak promo,bagusbanyak promo,bagusbanyak promo
sangat asik belenja di sini,5,sangat asik belenja di sini,asik belenja,asik belenja,asik belenja
"Ko lama proses bayar internet Tokopedia, mengecewakan hingga kini blum di proses",1,ko lama proses bayar internet tokopedia mengecewakan hingga kini blum di proses,ko proses bayar internet tokopedia mengecewakan blum proses,kok proses bayar internet tokopedia mengecewakan belum proses,proses bayar internet tokopedia mengecewakan proses
aku pengguna baru.. co vacum rp 200 perak.. mudah2n yg dateng benar yaa bukan hoaxx hehehe,4,aku pengguna baru co vacum rp  perak mudahn yg dateng benar yaa bukan hoaxx hehehe,pengguna co vacum rp perak mudahn yg dateng yaa hoaxx hehehe,pengguna cowok vacum rp perak mudahn yang datang ya hoaxx hehehe,pengguna cowok vacum rp perak mudahn ya hoaxx hehehe
Pengiriman terlalu lama,1,pengiriman terlalu lama,pengiriman,pengiriman,pengiriman
mengagumkan,5,mengagumkan,mengagumkan,mengagumkan,mengagumkan
Sekarang tokopedia kenapa jadi gak bisa gabung pembayaran gopay dengan gopay later sih.,2,sekarang tokopedia kenapa jadi gak bisa gabung pembayaran gopay dengan gopay later sih,tokopedia gak gabung pembayaran gopay gopay later sih,tokopedia enggak gabung pembayaran gopay gopay later sih,tokopedia gabung pembayaran gopay gopay later sih
lumayan membantu,5,lumayan membantu,lumayan membantu,lumayan membantu,lumayan membantu
mantappp diskonnya😍😍,5,mantappp diskonnya,mantappp diskonnya,mantap diskonnya,mantap diskonnya
keren bgt pokoknya banyak promonya juga,5,keren bgt pokoknya banyak promonya juga,keren bgt pokoknya promonya,keren banget pokoknya promonya,keren banget pokoknya promonya
terbaik,4,terbaik,terbaik,terbaik,terbaik
no respect.,1,no respect,no respect,no respect,no respect
Trimaksih tokopedia,5,trimaksih tokopedia,trimaksih tokopedia,trimaksih tokopedia,trimaksih tokopedia
"Saya pelanggan tokped udah lama , saya selalu pakai tokped klau belanja , tp skrng saya jd takut belanja di tokped krn yg gratis ongkir itu jaspernya pakai jne , padahal di malang jne sering bermasalah , mudah 2 an tokped bs memberikan batas waktu maksimal berapa hari nyampainya , jadi jaspernya bs memperhatikan kerjanya juga",3,saya pelanggan tokped udah lama  saya selalu pakai tokped klau belanja  tp skrng saya jd takut belanja di tokped krn yg gratis ongkir itu jaspernya pakai jne  padahal di malang jne sering bermasalah  mudah  an tokped bs memberikan batas waktu maksimal berapa hari nyampainya  jadi jaspernya bs memperhatikan kerjanya juga,pelanggan tokped udah pakai tokped klau belanja tp skrng jd takut belanja tokped krn yg gratis ongkir jaspernya pakai jne malang jne bermasalah mudah an tokped bs batas maksimal nyampainya jaspernya bs memperhatikan kerjanya,pelanggan tokped sudah pakai tokped kalau belanja tapi sekarang jadi takut belanja tokped karena yang gratis ongkir jaspernya pakai jne malang jne bermasalah mudah an tokped bisa batas maksimal nyampainya jaspernya bisa memperhatikan kerjanya,pelanggan tokped pakai tokped belanja takut belanja tokped gratis ongkir jaspernya pakai jne malang jne bermasalah mudah an tokped batas maksimal nyampainya jaspernya memperhatikan kerjanya
tokonya suka gk jelas 4x saya pesen tapi di batalin otomatis oleh sistem,1,tokonya suka gk jelas x saya pesen tapi di batalin otomatis oleh sistem,tokonya suka gk x pesen batalin otomatis sistem,tokonya suka enggak kali pesan batalin otomatis sistem,tokonya suka kali pesan batalin otomatis sistem
banyak diskon nya,5,banyak diskon nya,diskon nya,diskon nya,diskon nya
"Mudah2n,, Lancar dan Amanah pakai tokopedia... soal nya baru pertama x belanja pakai tokopedia...",5,mudahn lancar dan amanah pakai tokopedia soal nya baru pertama x belanja pakai tokopedia,mudahn lancar amanah pakai tokopedia nya x belanja pakai tokopedia,mudahn lancar amanah pakai tokopedia nya kali belanja pakai tokopedia,mudahn lancar amanah pakai tokopedia nya kali belanja pakai tokopedia
Update dong min kasih nomor kurir pengantar paketnya.,4,update dong min kasih nomor kurir pengantar paketnya,update min kasih nomor kurir pengantar paketnya,update min kasih nomor kurir pengantar paketnya,update min kasih nomor kurir pengantar paketnya
Estimasi pengiriman selalu melenceng jauh... Untuk aplikasi nya Good ya Cuma kecewa sama pihak kurir,4,estimasi pengiriman selalu melenceng jauh untuk aplikasi nya good ya cuma kecewa sama pihak kurir,estimasi pengiriman melenceng aplikasi nya good ya kecewa kurir,estimasi pengiriman melenceng aplikasi nya good ya kecewa kurir,estimasi pengiriman melenceng aplikasi nya good ya kecewa kurir
kurir relomendasi tokopedia asli parah ... upadate info ga akurat .. kurir2 pengiriman layanan reguler tapi lebih parah dari layanan hemat... semakin kesini semakin parah toped ...,1,kurir relomendasi tokopedia asli parah  upadate info ga akurat  kurir pengiriman layanan reguler tapi lebih parah dari layanan hemat semakin kesini semakin parah toped ,kurir relomendasi tokopedia asli parah upadate info ga akurat kurir pengiriman layanan reguler parah layanan hemat kesini parah toped,kurir relomendasi tokopedia asli parah upadate info enggak akurat kurir pengiriman layanan reguler parah layanan hemat kesini parah toped,kurir relomendasi tokopedia asli parah upadate info akurat kurir pengiriman layanan reguler parah layanan hemat kesini parah toped
Pelayanan yang sangat baik dan amanah .keren pisan,5,pelayanan yang sangat baik dan amanah keren pisan,pelayanan amanah keren pisan,pelayanan amanah keren pisan,pelayanan amanah keren pisan
murah bett,5,murah bett,murah bett,murah bett,murah bett
"Apk tolol,admin CS nya bego,ga kaya apk lain yang bagus pelayanan CS nya",1,apk tololadmin cs nya begoga kaya apk lain yang bagus pelayanan cs nya,apk tololadmin cs nya begoga kaya apk bagus pelayanan cs nya,apk tololadmin cs nya begoga kayak apk bagus pelayanan cs nya,apk tololadmin cs nya begoga kayak apk bagus pelayanan cs nya
"Aplikasi berat banget, lelet bikin marah doang",2,aplikasi berat banget lelet bikin marah doang,aplikasi berat banget lelet bikin marah doang,aplikasi berat banget lelet bikin marah doang,aplikasi berat banget lelet bikin marah doang
GK ada free ongkirnya Cok... Iklan doang GK bisa free ongkir,1,gk ada free ongkirnya cok iklan doang gk bisa free ongkir,gk free ongkirnya cok iklan doang gk free ongkir,enggak free ongkirnya cok iklan doang enggak free ongkir,free ongkirnya cok iklan doang free ongkir
pilih ekspedisi ga pernah bener GAJELASS,2,pilih ekspedisi ga pernah bener gajelass,pilih ekspedisi ga bener gajelass,pilih ekspedisi enggak benar gajelass,pilih ekspedisi gajelass
"makin berat aplikasinya, sering blank putih, lalu ada tulisan putih background merah ""terjadi masalah pada server"". padahal semua aplikasi dan jaringan di hape oke oke aja, hape android ram 6/64GB ruang kosong masih 70%., di suruh melaporkan ke tokopedia care, wooi,, perguso ! tokopedia care itu robot kayak elu,, palingan juga cuma di suruh clear cache, padahal aplikasi lu yg makin banyak bugs, gue kasih tau biar lu bisa tetap exists bukan hancur macam si merah gue udah hampir 10 tahun di toped",1,makin berat aplikasinya sering blank putih lalu ada tulisan putih background merah terjadi masalah pada server padahal semua aplikasi dan jaringan di hape oke oke aja hape android ram gb ruang kosong masih  di suruh melaporkan ke tokopedia care wooi perguso  tokopedia care itu robot kayak elu palingan juga cuma di suruh clear cache padahal aplikasi lu yg makin banyak bugs gue kasih tau biar lu bisa tetap exists bukan hancur macam si merah gue udah hampir  tahun di toped,berat aplikasinya blank putih tulisan putih background merah server aplikasi jaringan hape oke oke aja hape android ram gb ruang kosong suruh melaporkan tokopedia care wooi perguso tokopedia care robot kayak elu palingan suruh clear cache aplikasi lu yg bugs gue kasih tau biar lu exists hancur si merah gue udah toped,berat aplikasinya blank putih tulisan putih background merah server aplikasi jaringan hape oke oke saja hape android ram gb ruang kosong suruh melaporkan tokopedia care wooi perguso tokopedia care robot kayak lu palingan suruh clear cache aplikasi lu yang bugs gue kasih tau biar lu exists hancur sih merah gue sudah toped,berat aplikasinya blank putih tulisan putih background merah server aplikasi jaringan hape oke oke hape android ram gb ruang kosong suruh melaporkan tokopedia care wooi perguso tokopedia care robot kayak lu palingan suruh clear cache aplikasi lu bugs gue kasih tau biar lu exists hancur sih merah gue toped
mantaps,5,mantaps,mantaps,mantaps,mantaps
"setiap update aplikasi selalu gak bisa, dan selalu harus uninstall, setelah uninstall semua harus download lg dr cek kupon, kasih ulasan semua harus download dan setiap download pasti ada kendala dirumah tokped, gt aja terus ...",3,setiap update aplikasi selalu gak bisa dan selalu harus uninstall setelah uninstall semua harus download lg dr cek kupon kasih ulasan semua harus download dan setiap download pasti ada kendala dirumah tokped gt aja terus ,update aplikasi gak uninstall uninstall download lg dr cek kupon kasih ulasan download download kendala dirumah tokped gt aja,update aplikasi enggak uninstall uninstall download lagi dari cek kupon kasih ulasan download download kendala dirumah tokped begitu saja,update aplikasi uninstall uninstall download cek kupon kasih ulasan download download kendala dirumah tokped
Boleh juga pada murah lagiiiiiiiii,4,boleh juga pada murah lagiiiiiiiii,murah lagiiiiiiiii,murah lagiiiiiiiii,murah lagiiiiiiiii
"makin kesini makin buruk pelayanannya. gratis ongkir kecil,mau pakai promo susah dikira pelanggaran terus.full pindah toko orange.gratsi ongkir nya benar benar 0. promo banyak. uninstall tokopedia",1,makin kesini makin buruk pelayanannya gratis ongkir kecilmau pakai promo susah dikira pelanggaran terusfull pindah toko orangegratsi ongkir nya benar benar  promo banyak uninstall tokopedia,kesini buruk pelayanannya gratis ongkir kecilmau pakai promo susah pelanggaran terusfull pindah toko orangegratsi ongkir nya promo uninstall tokopedia,kesini buruk pelayanannya gratis ongkir kecilmau pakai promo susah pelanggaran terusfull pindah toko orangegratsi ongkir nya promo uninstall tokopedia,kesini buruk pelayanannya gratis ongkir kecilmau pakai promo susah pelanggaran terusfull pindah toko orangegratsi ongkir nya promo uninstall tokopedia
"Turun jadi Bintang 1 ajalah, kocak bener ini aplikasinya promo diskon pas dibuat pesanan malah otomatis dibatalkan dugaan manipulasi. Apanya yg manipulasi? Voucher promo nya jg hilang.. mau cari untung gak gini juga caranya",1,turun jadi bintang  ajalah kocak bener ini aplikasinya promo diskon pas dibuat pesanan malah otomatis dibatalkan dugaan manipulasi apanya yg manipulasi voucher promo nya jg hilang mau cari untung gak gini juga caranya,turun bintang ajalah kocak bener aplikasinya promo diskon pas pesanan otomatis dibatalkan dugaan manipulasi apanya yg manipulasi voucher promo nya jg hilang cari untung gak gini,turun bintang ajalah kocak benar aplikasinya promo diskon pas pesanan otomatis dibatalkan dugaan manipulasi apanya yang manipulasi voucher promo nya juga hilang cari untung enggak begini,turun bintang ajalah kocak aplikasinya promo diskon pas pesanan otomatis dibatalkan dugaan manipulasi apanya manipulasi voucher promo nya hilang cari untung
Oke,4,oke,oke,oke,oke
Asuuuu penipu...Batal beli... Lha voucher pembeli pertama ga bs dipake.... Dpt notif tetep ga bs dipake,1,asuuuu penipubatal beli lha voucher pembeli pertama ga bs dipake dpt notif tetep ga bs dipake,asuuuu penipubatal beli lha voucher pembeli ga bs dipake dpt notif tetep ga bs dipake,asuuuu penipubatal beli lah voucher pembeli enggak bisa dipakai dapat notif tetap enggak bisa dipakai,asuuuu penipubatal beli voucher pembeli dipakai notif dipakai
Makin ribet,1,makin ribet,ribet,ribet,ribet
ok,5,ok,ok,ok,ok
"PUNYA APLIKASI KOK GINI AMAT..!! DARI TAHUN KE TAHUN GINI2 MULU'.. SERING EROR MAU PAKE VOUCHER EH TIBA-TIBA KAGA BISA KEPAKE DONG MANA ALESANNYA NGGA MASUK AKAL(DIBATALKAN SEPIHAK) EMANG DASAR DARI DULU PELIT PROMO DISKON, KALAH JAUHH SAMA KOMPETITOR LAIN.. SEPENGALAMAN GUA TOKOPEDIA INI KALO DI CERITA'IN BANYAK MINUS NYA, HEI CEO TOKOPEDIA LU LIHAT LAZADA YG FULL DISKON & ADA CS SPECIALIST NYA,, INTINYA BIKIN SENENG CUSTOMER, EH LU MALAH GINI2 AJA NYEBELIN. MENDING DI UNINSTALL AJA TOKOPEDIA.",1,punya aplikasi kok gini amat dari tahun ke tahun gini mulu sering eror mau pake voucher eh tibatiba kaga bisa kepake dong mana alesannya ngga masuk akaldibatalkan sepihak emang dasar dari dulu pelit promo diskon kalah jauhh sama kompetitor lain sepengalaman gua tokopedia ini kalo di ceritain banyak minus nya hei ceo tokopedia lu lihat lazada yg full diskon  ada cs specialist nya intinya bikin seneng customer eh lu malah gini aja nyebelin mending di uninstall aja tokopedia,aplikasi gini gini mulu eror pake voucher eh tibatiba kaga kepake alesannya ngga masuk akaldibatalkan emang dasar pelit promo diskon kalah jauhh kompetitor sepengalaman gua tokopedia kalo ceritain minus nya hei ceo tokopedia lu lihat lazada yg full diskon cs specialist nya intinya bikin seneng customer eh lu gini aja nyebelin mending uninstall aja tokopedia,aplikasi begini begini mulu eror pakai voucher eh tibatiba kagak kepake alesannya enggak masuk akaldibatalkan memang dasar pelit promo diskon kalah jauh kompetitor sepengalaman gua tokopedia kalo ceritain minus nya hei ceo tokopedia lu lihat lazada yang full diskon cs specialist nya intinya bikin senang customer eh lu begini saja menyebalkan mending uninstall saja tokopedia,aplikasi mulu eror pakai voucher eh tibatiba kagak kepake alesannya masuk akaldibatalkan dasar pelit promo diskon kalah kompetitor sepengalaman gua tokopedia kalo ceritain minus nya hei ceo tokopedia lu lihat lazada full diskon cs specialist nya intinya bikin senang customer eh lu menyebalkan mending uninstall tokopedia
"Barusan mau transaksi pake diskon 20rb eh tiba tiba dibatalin dengan alasan melanggar S&K, ga jelas anj, buat apa coba ngasih kode promo kalo ga bisa dipake rolol",1,barusan mau transaksi pake diskon rb eh tiba tiba dibatalin dengan alasan melanggar sk ga jelas anj buat apa coba ngasih kode promo kalo ga bisa dipake rolol,barusan transaksi pake diskon rb eh dibatalin alasan melanggar sk ga anj coba ngasih kode promo kalo ga dipake rolol,barusan transaksi pakai diskon ribu eh dibatalin alasan melanggar suka enggak anjing coba mengasih kode promo kalo enggak dipakai rolol,barusan transaksi pakai diskon ribu eh dibatalin alasan melanggar suka anjing coba mengasih kode promo kalo dipakai rolol
Trims..tokopedia atas paket paketnya.....🙏 trims kembali atas pengecekan dan pecerahannya... 🙏👍,5,trimstokopedia atas paket paketnya trims kembali atas pengecekan dan pecerahannya ,trimstokopedia paket paketnya trims pengecekan pecerahannya,trimstokopedia paket paketnya terima kasih pengecekan pecerahannya,trimstokopedia paket paketnya terima kasih pengecekan pecerahannya
"Maaf ya buat tokped kasih bintang satu soalnya banyak yg otomatis pake ekspedisi JNE, banyak paket yg tertahan digudang sortir, saran backlist aja deh JNE dari tokped dari pada pindah ke sebelah karna ekspedisi",1,maaf ya buat tokped kasih bintang satu soalnya banyak yg otomatis pake ekspedisi jne banyak paket yg tertahan digudang sortir saran backlist aja deh jne dari tokped dari pada pindah ke sebelah karna ekspedisi,maaf ya tokped kasih bintang yg otomatis pake ekspedisi jne paket yg tertahan digudang sortir saran backlist aja deh jne tokped pindah sebelah karna ekspedisi,maaf ya tokped kasih bintang yang otomatis pakai ekspedisi jne paket yang tertahan digudang sortir saran backlist saja deh jne tokped pindah sebelah karena ekspedisi,maaf ya tokped kasih bintang otomatis pakai ekspedisi jne paket tertahan digudang sortir saran backlist deh jne tokped pindah sebelah ekspedisi
good job,5,good job,good job,good job,good job
bagus,5,bagus,bagus,bagus,bagus
"Ada pembelian saya seb 208.400, pd bln agt tetapi oleh toko pedia dibatalkan Ket saldonya sdh dikembalikan ke akun/rek yg dikeluarkan, setelah check sama sekali blm ada, sy bayar pakai transfer via bank mandiri, minta tlg donk kembalikan uang saya klo mmg pesanan saya dibatalkan, 🙏🙏",1,ada pembelian saya seb  pd bln agt tetapi oleh toko pedia dibatalkan ket saldonya sdh dikembalikan ke akunrek yg dikeluarkan setelah check sama sekali blm ada sy bayar pakai transfer via bank mandiri minta tlg donk kembalikan uang saya klo mmg pesanan saya dibatalkan ,pembelian seb pd bln agt toko pedia dibatalkan ket saldonya sdh dikembalikan akunrek yg dikeluarkan check blm sy bayar pakai transfer via bank mandiri tlg donk kembalikan uang klo mmg pesanan dibatalkan,pembelian seb pada bulan agt toko pedia dibatalkan ket saldonya sudah dikembalikan akunrek yang dikeluarkan check belum saya bayar pakai transfer via bank mandiri tolong dong kembalikan uang kalo memang pesanan dibatalkan,pembelian seb agt toko pedia dibatalkan ket saldonya dikembalikan akunrek dikeluarkan check bayar pakai transfer via bank mandiri tolong kembalikan uang kalo pesanan dibatalkan
ok,5,ok,ok,ok,ok
Bagaimana bisa akun di tabrak . perangkat yg ga saya kenal habis liat liat barang. Tiba tiba ke co cod pula. Dengan harga yg tidak sedikit pula. Meski begitu mana alamat dan data diri saya . sudah saya masukin semua . Waktu toko di chatt untuk pembatalan respon nya lama banget. Ini aja gatau udh aku amanin. Tapi login pake nomer hp yg gw ganti ga bisa. Banyak banget lah . Ini mah kek serasa penipuan,1,bagaimana bisa akun di tabrak  perangkat yg ga saya kenal habis liat liat barang tiba tiba ke co cod pula dengan harga yg tidak sedikit pula meski begitu mana alamat dan data diri saya  sudah saya masukin semua  waktu toko di chatt untuk pembatalan respon nya lama banget ini aja gatau udh aku amanin tapi login pake nomer hp yg gw ganti ga bisa banyak banget lah  ini mah kek serasa penipuan,akun tabrak perangkat yg ga kenal habis liat liat barang co cod harga yg alamat data masukin toko chatt pembatalan respon nya banget aja gatau udh amanin login pake nomer hp yg gw ganti ga banget mah kek serasa penipuan,akun tabrak perangkat yang enggak kenal habis lihat lihat barang cowok cod harga yang alamat data memasuki toko chatt pembatalan respon nya banget saja enggak tau sudah amanin login pakai nomer hp yang gue ganti enggak banget mah kayak serasa penipuan,akun tabrak perangkat kenal habis lihat lihat barang cowok cod harga alamat data memasuki toko chatt pembatalan respon nya banget tau amanin login pakai nomer hp gue ganti banget mah kayak serasa penipuan
"Payah banget, satu voucher cuma bisa pakai satu kali di alamat yang sama. Lha kalo ibu/ayah/kakak/adek pengen belanja masing-masing, jadi gabisa dapat promonya karena alamatnya udah dipakai. Aneh. 🙄🙄🙄🙄",1,payah banget satu voucher cuma bisa pakai satu kali di alamat yang sama lha kalo ibuayahkakakadek pengen belanja masingmasing jadi gabisa dapat promonya karena alamatnya udah dipakai aneh ,payah banget voucher pakai kali alamat lha kalo ibuayahkakakadek pengen belanja masingmasing gabisa promonya alamatnya udah dipakai aneh,payah banget voucher pakai kali alamat lah kalo ibuayahkakakadek pengin belanja masingmasing enggak bisa promonya alamatnya sudah dipakai aneh,payah banget voucher pakai kali alamat kalo ibuayahkakakadek pengin belanja masingmasing promonya alamatnya dipakai aneh
"bnyak promo buat pengguna baru , tapi pas di pake promo nya malah di batalkan sistem terus, ikhlas ga sih ngasih promo? dah gtu refund nya lama",3,bnyak promo buat pengguna baru  tapi pas di pake promo nya malah di batalkan sistem terus ikhlas ga sih ngasih promo dah gtu refund nya lama,bnyak promo pengguna pas pake promo nya batalkan sistem ikhlas ga sih ngasih promo dah gtu refund nya,banyak promo pengguna pas pakai promo nya batalkan sistem ikhlas enggak sih mengasih promo deh begitu refund nya,promo pengguna pas pakai promo nya batalkan sistem ikhlas sih mengasih promo deh refund nya
respon cepat,5,respon cepat,respon cepat,respon cepat,respon cepat
begitu puas,5,begitu puas,puas,puas,puas
"Saya udah lama pakai aplikasi Tokopedia, secara harga dan pelayanan cukup bersaing dengan aplikasi sebelah.. tapi tolong di fix kan dulu aplikasi nya baru di update Terakhir update ga bisa search barang yg udah di beli, mesti di close dulu.. kadang saldo gopay tidak tampil di Tokopedia sehingga mau transaksi aja jadi ribet.. tolong lah pihak developer sebelum di launching di fikan dulu Terimakasih",4,saya udah lama pakai aplikasi tokopedia secara harga dan pelayanan cukup bersaing dengan aplikasi sebelah tapi tolong di fix kan dulu aplikasi nya baru di update terakhir update ga bisa search barang yg udah di beli mesti di close dulu kadang saldo gopay tidak tampil di tokopedia sehingga mau transaksi aja jadi ribet tolong lah pihak developer sebelum di launching di fikan dulu terimakasih,udah pakai aplikasi tokopedia harga pelayanan bersaing aplikasi sebelah tolong fix aplikasi nya update update ga search barang yg udah beli mesti close kadang saldo gopay tampil tokopedia transaksi aja ribet tolong developer launching fikan terimakasih,sudah pakai aplikasi tokopedia harga pelayanan bersaing aplikasi sebelah tolong fix aplikasi nya update update enggak search barang yang sudah beli mesti close kadang saldo gopay tampil tokopedia transaksi saja ribet tolong developer launching fikan terimakasih,pakai aplikasi tokopedia harga pelayanan bersaing aplikasi sebelah tolong fix aplikasi nya update update search barang beli mesti close kadang saldo gopay tampil tokopedia transaksi ribet tolong developer launching fikan terimakasih
bagus sekali,5,bagus sekali,bagus,bagus,bagus
sangat membantu buat belanja kebutuhan tanpa ribet,5,sangat membantu buat belanja kebutuhan tanpa ribet,membantu belanja kebutuhan ribet,membantu belanja kebutuhan ribet,membantu belanja kebutuhan ribet
mantap,5,mantap,mantap,mantap,mantap
"Semoga di tokopedia ada denda untuk seller yg lama banget ngemas , kiriman lewatin batas yg udah ada, lucunya pakai instan pun bisa lewat hari 😂😂 jangan bikin kapok ya tokopedia",4,semoga di tokopedia ada denda untuk seller yg lama banget ngemas  kiriman lewatin batas yg udah ada lucunya pakai instan pun bisa lewat hari  jangan bikin kapok ya tokopedia,semoga tokopedia denda seller yg banget ngemas kiriman lewatin batas yg udah lucunya pakai instan bikin kapok ya tokopedia,semoga tokopedia denda seller yang banget ngemas kiriman lewatin batas yang sudah lucunya pakai instan bikin kapok ya tokopedia,semoga tokopedia denda seller banget ngemas kiriman lewatin batas lucunya pakai instan bikin kapok ya tokopedia
"Mau pakai apk dalam negeri, estimasi barang datang tgl 7, tanggal 6 belum ada resi pengirimanaya .. Kocakk2",1,mau pakai apk dalam negeri estimasi barang datang tgl  tanggal  belum ada resi pengirimanaya  kocakk,pakai apk negeri estimasi barang tgl tanggal resi pengirimanaya kocakk,pakai apk negeri estimasi barang tanggal tanggal resi pengirimanaya kocakk,pakai apk negeri estimasi barang tanggal tanggal resi pengirimanaya kocakk
"saya pesen barang udah hampir seminggu masih diproses, saya agak kecewa sih walaupun barangnya dapat potongan harga",2,saya pesen barang udah hampir seminggu masih diproses saya agak kecewa sih walaupun barangnya dapat potongan harga,pesen barang udah seminggu diproses kecewa sih barangnya potongan harga,pesan barang sudah seminggu diproses kecewa sih barangnya potongan harga,pesan barang seminggu diproses kecewa sih barangnya potongan harga
